"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2017","","","","6064"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2022","","","","7886"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2021","","","","5141"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2020","","","","3166"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M05","May","M","Monthly","USM","Million US dollar","2018","","","","6448"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2022","","","","8664"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2017","","","","5898"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2019","","","","4171"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2020","","","","3299"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2018","","","","5461"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M06","June","M","Monthly","USM","Million US dollar","2021","","","","5909"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2019","","","","4905"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2017","","","","6043"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2022","","","","8289"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2020","","","","3451"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","032","ARG","Argentina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M07","July","M","Monthly","USM","Million US dollar","2021","","","","5715"
